"reads.in"	"reads.out"
"F3D0_S188_L001_R1_001.fastq"	7793	7113
"F3D141_S207_L001_R1_001.fastq"	5958	5463
"F3D142_S208_L001_R1_001.fastq"	3183	2914
"F3D143_S209_L001_R1_001.fastq"	3178	2941
"F3D144_S210_L001_R1_001.fastq"	4827	4312
"F3D145_S211_L001_R1_001.fastq"	7377	6741
"F3D146_S212_L001_R1_001.fastq"	5021	4560
"F3D147_S213_L001_R1_001.fastq"	17070	15637
"F3D148_S214_L001_R1_001.fastq"	12405	11413
"F3D149_S215_L001_R1_001.fastq"	13083	12017
"F3D150_S216_L001_R1_001.fastq"	5509	5032
"F3D1_S189_L001_R1_001.fastq"	5869	5299
"F3D2_S190_L001_R1_001.fastq"	19620	18075
"F3D3_S191_L001_R1_001.fastq"	6758	6250
"F3D5_S193_L001_R1_001.fastq"	4448	4052
"F3D6_S194_L001_R1_001.fastq"	7989	7369
"F3D7_S195_L001_R1_001.fastq"	5129	4765
"F3D8_S196_L001_R1_001.fastq"	5294	4871
"F3D9_S197_L001_R1_001.fastq"	7070	6504
"Mock_S280_L001_R1_001.fastq"	4779	4314
